District,PS Name,FIR No,Date Report,Date Accident,Time Report,Time Accident,Sections,Accident type,Death,Grievous,Minor,Pedestrian,Cyclist,Latitude,Longitude,Place of Occurance,Type Area,City/Town/ Village,Lanes Road,Divider,Spot Accident,Weather,T -Junction,Collision,Type Road,Road Features,Visibility,Traffic Control,Accussed Vehicle,Victim Vehicle
THIRUVANANTHAPURAM CITY,Peroorkada,1020/2000,27/01/2020,22/11/2020,18:15:00,17:45:00,"279,337,338",Grevious Injury,0,1,1,0,0,9.941782,76.644568,NEAR FEDERAL BANK VAZHAKULAM,Rural,Village,Double,no,Near office complex,Sunny/Clear,NA,Hit from Side,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Car
THIRUVANANTHAPURAM CITY,Poonthura,1021/2000,17/01/2020,08/01/2020,14:00:00,06:15:00,"279,337",Grevious Injury,0,1,0,1,0,9.933516,76.659999,VENGACHUVADU,Rural,Village,Double,no,Near bus stop,Sunny/Clear,NA,Hit Pedestrian,State Highway,Straight Road,Poor,Uncontrolled,Goods Auto,Motor Cycle
THIRUVANANTHAPURAM CITY,Sreekariyam,1022/2000,19/01/2020,15/01/2020,17:42:00,18:30:00,"279,337,338",Minor Injury,0,0,1,0,0,9.980033,76.541591,MEKKADAMBU,Rural,Village,Double,no,Near bus stop,Mist/Fog,NA,Head on Collision,Other Road,Curved Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
THIRUVANANTHAPURAM CITY,Sreekariyam,1023/2000,29/01/2020,12/01/2020,20:10:00,10:45:00,"279,337,338",Minor Injury,0,0,6,0,0,9.923335,76.674453,KADALIKKADU,Urban,Village,Double,no,Near bus stop,Sunny/Clear,NA,Head on Collision,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Private Bus
THIRUVANANTHAPURAM CITY,Nemom,1024/2000,29/01/2020,29/01/2020,07:00:00,13:30:00,"279,337,304(A)",Grevious Injury,0,1,0,0,0,9.94193,76.644321,VAZHAKULAM,Rural,Village,Double,no,Near a religious place,Sunny/Clear,NA,Hit from Side,State Highway,Curved Road,Good,Uncontrolled,Motor Cycle,Scooter
THIRUVANANTHAPURAM CITY,Sreekariyam,1025/2000,30/01/2020,28/01/2020,19:01:00,17:45:00,304(A),Grevious Injury,0,1,0,0,0,9.956411,76.590771,NEAR MALSYA FED FISH STALL,Rural,Village,Double,no,Market/Commercial area,Sunny/Clear,T- Junction,Hit from Side,Other Road,Curved Road,Good,Uncontrolled,Private Bus,Motor Cycle
THIRUVANANTHAPURAM CITY,Peroorkada,1026/2000,05/01/2020,11/12/2020,12:00:00,17:45:00,"279,337,338",Minor Injury,0,0,1,0,0,10.03984,76.563292,PAIPRA KINARUMPADY,Rural,Village,Double,no,In Residential area,Sunny/Clear,NA,Hit from Side,Other Road,Straight Road,Good,Uncontrolled,Container,Motor Cycle
THIRUVANANTHAPURAM CITY,Peroorkada,1027/2000,24/01/2020,11/01/2020,16:00:00,11:01:00,MO(Grevious),Grevious Injury,0,1,0,0,0,10.014651,76.525097,NELLAD,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Other,Other Road,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
THIRUVANANTHAPURAM CITY,Sreekariyam,1028/2000,14/01/2020,03/01/2020,12:00:00,08:00:00,"279,337",Minor Injury,0,0,2,0,0,10.15056,76.217558,NEAR KOTTAKAV CHURCH,Rural,Village,Single,no,Near a religious place,Sunny/Clear,NA,Hit from Side,National Highway,Curved Road,Good,Uncontrolled,Car,Scooter
THIRUVANANTHAPURAM CITY,Thiruvallam,1029/2000,01/01/2020,20/12/2020,18:01:00,08:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,10.011402,76.567908,PALLIPADY PEZHAKKAPILLY,Rural,Village,Double,no,Near a religious place,Sunny/Clear,T- Junction,Hit from Back,Other Road,Straight Road,Good,Uncontrolled,Scooter,Motor Cycle
THIRUVANANTHAPURAM CITY,Peroorkada,1030/2000,07/01/2020,10/12/2020,18:00:00,13:31:00,"279,337,338",Minor Injury,0,0,1,0,0,10.027832,76.393548,MANAYKAKADAVU,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Hit from Side,Other Road,Straight Road,Good,Uncontrolled,Car,Scooter
THIRUVANANTHAPURAM CITY,Peroorkada,1031/2000,08/01/2020,18/12/2020,12:00:00,09:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,10.0153,76.405,PALLIKKARA,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Hit from Back,Other Road,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
THIRUVANANTHAPURAM CITY,Nemom,1032/2000,13/01/2020,19/12/2020,16:15:00,16:00:00,"279,337,338",Fatal,1,0,0,0,0,9.94814,76.63106,PAREEKAPEEDIKA,Rural,Village,Double,no,In Open area,Sunny/Clear,NA,Hit from Side,State Highway,Curved Road,Good,Uncontrolled,Auto rickshaw,Goods Auto
THIRUVANANTHAPURAM CITY,Fort,1033/2000,09/01/2020,02/01/2020,13:00:00,16:30:00,MO(Grevious),Grevious Injury,0,1,0,0,0,9.946839,76.645641,VAZHAKULAM,Rural,Village,Double,no,Near bus stop,Sunny/Clear,NA,Hit from Back,Other Road,Others,Good,Uncontrolled,Motor Cycle,Auto rickshaw
THIRUVANANTHAPURAM CITY,Nemom,1034/2000,02/01/2020,17/12/2020,11:48:00,18:30:00,"279,337,338",Grevious Injury,0,1,0,1,0,9.980923,76.520585,VALAKAM,Rural,Village,Double,no,Market/Commercial area,Sunny/Clear,NA,Hit Pedestrian,Other Road,Curved Road,Good,Uncontrolled,Car,Scooter
THIRUVANANTHAPURAM CITY,Valiyathura,1035/2000,24/01/2020,03/01/2020,21:35:00,21:15:00,"279,337,338",Grevious Injury,0,2,0,0,0,10.017288,76.564476,PEZHAKKAPILLY,Rural,Village,Double,no,Market/Commercial area,Mist/Fog,Y- junction,Hit from Back,Other Road,Curved Road,Good,Uncontrolled,Jeep,Scooter
THIRUVANANTHAPURAM CITY,Poonthura,1036/2000,28/01/2020,25/12/2020,17:41:00,17:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.977728,76.589918,MARRY MATHA SQUARE MANDOTHIPADY,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Hit from Side,Other Road,Straight Road,Good,Uncontrolled,Car,Scooter
THIRUVANANTHAPURAM CITY,Poonthura,1037/2000,22/01/2020,13/12/2020,10:03:00,20:30:00,"279,337",Fatal,1,0,0,1,0,10.035481,76.545604,SANGAMAMPADY MUALVOOR VILLAGE,Rural,Village,Double,no,Near bus stop,Sunny/Clear,NA,Hit Pedestrian,Other Road,Curved Road,Good,Uncontrolled,Car,Auto rickshaw
THIRUVANANTHAPURAM CITY,Sreekariyam,1038/2000,10/01/2020,22/12/2020,15:27:00,07:25:00,"279,337,338",Minor Injury,0,0,1,0,0,10.005322,76.57063,PULINCHUVADU,Rural,Village,Double,yes,Near bus stop,Sunny/Clear,NA,Hit from Side,Other Road,Straight Road,Good,Uncontrolled,Auto rickshaw,Motor Cycle
THIRUVANANTHAPURAM CITY,Nemom,1039/2000,22/01/2020,04/01/2020,14:30:00,17:40:00,"279,337,338",Grevious Injury,0,1,0,0,0,10.154853,76.211807,CHITTATTUKKARA,Rural,Village,Single,no,Other,Sunny/Clear,NA,Other,Other Road,Others,Good,Uncontrolled,Motor Cycle,Scooter
THIRUVANANTHAPURAM CITY,Nemom,1040/2000,06/01/2020,09/10/2020,17:30:00,14:00:00,MO(Grevious),Grevious Injury,0,1,0,0,0,9.91318,76.69466,NEAR TODDY SHOP ACHANKAVALA,Rural,Village,Double,no,Near bus stop,Sunny/Clear,NA,Hit from Back,State Highway,Straight Road,Good,Uncontrolled,Car,Goods Auto
THIRUVANANTHAPURAM CITY,Valiyathura,1041/2000,22/01/2020,09/04/2020,14:03:00,16:30:00,"279,337,338",Grevious Injury,0,1,0,1,0,9.993571,76.588848,KEECHERIPPADY,Rural,Village,Double,no,Near bus stop,Sunny/Clear,NA,Hit Pedestrian,Other Road,Straight Road,Good,Uncontrolled,Car,Motor Cycle
THIRUVANANTHAPURAM CITY,Nemom,1042/2000,04/01/2020,12/10/2020,20:39:00,14:00:00,"279,337,338,134(a+b)",Grevious Injury,0,1,0,0,0,9.979397,76.585957,NEAR PRIVATE BUS STAND MUVATTUPUZHA,Rural,Town,Double,no,Near bus stop,Sunny/Clear,NA,Right-angled collision,Other Road,Straight Road,Good,Uncontrolled,Torus,Motor Cycle
THIRUVANANTHAPURAM CITY,Peroorkada,1043/2000,10/01/2020,02/12/2020,18:06:00,18:00:00,"279,337",Grevious Injury,0,1,0,0,0,10.098701,76.318095,MILLUPADY MUPPATAHDAM ,Rural,Village,Double,no,Near bus stop,Cloudy,NA,Other,Other Road,Straight Road,Poor,Uncontrolled,Private Bus,Motor Cycle
THIRUVANANTHAPURAM CITY,Sreekariyam,1044/2000,12/01/2020,06/01/2020,18:30:00,08:00:00,304(A),Grevious Injury,0,1,1,0,0,10.185434,76.246626,KALLEPPARAMBU,Rural,Village,Single,no,Other,Sunny/Clear,NA,Head on Collision,Other Road,Others,Good,Uncontrolled,Car,Motor Cycle
THIRUVANANTHAPURAM CITY,Sreekariyam,1045/2000,12/01/2020,10/01/2020,13:42:00,21:30:00,"279,338,304(A)",Grevious Injury,0,1,1,0,0,9.92172,76.389934,ERUVELI NEAR SOUTH INDIAN BANK ATM,Rural,Village,Single,no,Near a religious place,Sunny/Clear,T- Junction,Hit from Back,Other Road,Straight Road,Good,Uncontrolled,Scooter,Auto rickshaw
THIRUVANANTHAPURAM CITY,Sreekariyam,1046/2000,08/01/2020,08/01/2020,11:07:00,19:00:00,304(A),Grevious Injury,0,1,0,0,0,9.996156,76.593602,PERUMATTAM,Rural,Village,Double,no,Market/Commercial area,Sunny/Clear,NA,Hit from Side,Other Road,Curved Road,Good,Uncontrolled,Motor Cycle,Scooter
THIRUVANANTHAPURAM CITY,Peroorkada,1047/2000,09/01/2020,02/01/2020,11:00:00,12:30:00,"279,337,338",Minor Injury,0,0,1,0,0,10.1828,76.1899,KOTTUVALLYKKAD,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Hit from Back,Other Road,Straight Road,Good,Uncontrolled,Car,Motor Cycle
THIRUVANANTHAPURAM CITY,Poojappura,1048/2000,07/01/2020,30/11/2020,19:11:00,08:35:00,"279,337,338",Minor Injury,0,0,1,0,0,10.1120238,76.3501483,BANK JUCTION,Urban,Town,Single,no,Near bus stop,Sunny/Clear,NA,Rear end collision,Other Road,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
THIRUVANANTHAPURAM CITY,Vattiyoorkavu,1049/2000,15/01/2020,29/12/2020,13:12:00,20:00:00,"279,337,338",Grevious Injury,0,1,1,0,0,9.981444,76.414332,VADAYAMBATHUMLA,Rural,Village,Single,no,Near petrol pump,Mist/Fog,NA,Hit from Back,Other Road,Straight Road,Poor,Police controlled,Motor Cycle,Motor Cycle
THIRUVANANTHAPURAM CITY,Museum,1050/2000,14/01/2020,13/01/2020,15:33:00,12:15:00,"279,337,338",Grevious Injury,0,1,0,0,0,10.012044,76.473219,EZHIPRAM,Rural,Village,Single,no,Market/Commercial area,Very Hot,NA,Hit and run,Other Road,Straight Road,Good,Police controlled,Motor Cycle,Scooter
THIRUVANANTHAPURAM CITY,Museum,1051/2000,18/01/2020,11/01/2020,16:30:00,08:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.96445,76.407256,VARIKOLY,Rural,Village,Single,no,Institutional Area,Sunny/Clear,NA,Hit and run,State Highway,Others,Good,Police controlled,Private Bus,Motor Cycle
THIRUVANANTHAPURAM CITY,Museum,1052/2000,22/01/2020,13/01/2020,15:20:00,08:00:00,MO(Grevious),Grevious Injury,0,1,0,1,0,10.17,76.2307,KARIMBADAM,Rural,Village,Single,no,Market/Commercial area,Sunny/Clear,NA,Hit Pedestrian,Other Road,Straight Road,Good,Uncontrolled,Car,Motor Cycle
THIRUVANANTHAPURAM CITY,Vizhinjam,1053/2000,09/01/2020,22/12/2020,15:26:00,15:00:00,"279,337,338",Grevious Injury,0,1,1,0,0,10.007677,76.441912,PULINCHODE ALUVA,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Hit from Back,Other Road,Straight Road,Good,Police controlled,Car,Motor Cycle
THIRUVANANTHAPURAM CITY,Vizhinjam,1054/2000,18/01/2020,17/01/2020,17:55:00,18:36:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.974022,76.447603,PATHAMILE,Rural,Village,Single,no,Near bus stop,Mist/Fog,NA,Hit and run,State Highway,Straight Road,Poor,Police controlled,Motor Cycle,Car
THIRUVANANTHAPURAM CITY,Thumba,1055/2000,13/01/2020,22/12/2020,17:17:00,16:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.969803,76.439134,CHOONDY,Rural,Village,Single,no,Institutional Area,Sunny/Clear,NA,Hit and run,State Highway,Straight Road,Good,Police controlled,Scooter,Scooter
THIRUVANANTHAPURAM CITY,Thumba,1056/2000,15/01/2020,11/01/2020,17:33:00,21:45:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.979791,76.479492,THONNIKKALLU,Rural,Village,Single,no,Market/Commercial area,Mist/Fog,NA,Skidding,State Highway,Straight Road,Poor,Police controlled,Other Medium Goods vehicle,Motor Cycle
THIRUVANANTHAPURAM CITY,Thampanoor,1057/2000,13/01/2020,11/01/2020,20:34:00,06:30:00,"279,337,338",Grevious Injury,0,1,1,0,0,10.145375,76.353005,KOTTAYI,Rural,Village,Double,yes,Other,Mist/Fog,NA,Right turn collision,National Highway,Straight Road,Good,Uncontrolled,Car,Scooter
THIRUVANANTHAPURAM CITY,Museum,1058/2000,23/01/2020,21/01/2020,19:47:00,06:10:00,"279,337,338",Grevious Injury,0,1,0,0,0,10.155713,76.354456,ATHANI,Rural,Village,Double,yes,Other,Mist/Fog,T- Junction,Rear end collision,National Highway,Straight Road,Good,Traffic light signal,Motor Cycle,Motor Cycle
THIRUVANANTHAPURAM CITY,Vizhinjam,1059/2000,03/01/2020,06/12/2020,17:28:00,20:00:00,"279,337,338",Grevious Injury,0,2,0,0,0,9.962887,76.43973,POOTHRIKKA,Rural,Village,Single,no,Near a religious place,Mist/Fog,NA,Hit from Side,Other Road,Straight Road,Poor,Police controlled,Goods Auto,Scooter
THIRUVANANTHAPURAM CITY,Poojappura,1060/2000,04/01/2020,26/10/2020,20:35:00,14:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.963364,76.453361,KAKKATTUPARA,Rural,Village,Single,no,Market/Commercial area,Sunny/Clear,NA,Hit from Side,Other Road,Straight Road,Good,Police controlled,Other Medium Goods vehicle,Motor Cycle
THIRUVANANTHAPURAM CITY,Poojappura,1061/2000,04/01/2020,29/12/2020,11:00:00,21:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.99426,76.22438,PUTHUVYPU,Rural,Village,Single,no,Near bus stop,Cloudy,NA,Overturn,State Highway,Straight Road,Poor,Uncontrolled,Car,Scooter
THIRUVANANTHAPURAM CITY,Thumba,1062/2000,03/01/2020,31/12/2020,17:33:00,18:00:00,"279,337",Grevious Injury,0,1,0,0,0,9.987287,76.469598,KARAMOLAPEEDIKA,Rural,Village,Single,no,Other,Sunny/Clear,NA,Hit Pedestrian,Other Road,Others,Good,Police controlled,Car,Scooter
THIRUVANANTHAPURAM CITY,Museum,1063/2000,27/01/2020,06/12/2020,19:30:00,09:50:00,"279,337,338",Fatal,1,0,0,0,0,10.114948,76.51726,KURUPPAMPADY,Rural,Village,Single,no,Market/Commercial area,Sunny/Clear,NA,Collision brush/side swipe,Other Road,Straight Road,Good,Uncontrolled,Tipper,Scooter
THIRUVANANTHAPURAM CITY,Vizhinjam,1064/2000,05/01/2020,11/12/2020,15:00:00,12:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,10.053081,76.215451,MANATTUPARAMBU,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Rear end collision,State Highway,Straight Road,Good,Uncontrolled,Car,Motor Cycle
THIRUVANANTHAPURAM CITY,Thumba,1065/2000,03/01/2020,28/12/2020,16:40:00,12:00:00,"279,337,338",Grevious Injury,0,3,1,0,0,10.084943,76.502257,PULLUVAZHY,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Right-angled collision,State Highway,Straight Road,Good,Uncontrolled,Auto rickshaw,Motor Cycle
THIRUVANANTHAPURAM CITY,Thumba,1066/2000,05/01/2020,27/12/2020,15:00:00,20:15:00,"279,337,338",Grevious Injury,0,1,0,0,0,10.1080416,76.247545,TRIKKAPPURAM,Rural,Village,Single,no,Near a religious place,Sunny/Clear,T- Junction,Collision brush/side swipe,Other Road,Others,Good,Uncontrolled,Jeep,Auto rickshaw
THIRUVANANTHAPURAM CITY,Vizhinjam,1067/2000,25/01/2020,17/01/2020,18:30:00,16:00:00,MO(Death),Fatal,1,0,0,1,0,10.0623,76.23907,KUDUNGASSERY,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Hit Pedestrian,State Highway,Straight Road,Good,Uncontrolled,Car,Motor Cycle
THIRUVANANTHAPURAM CITY,Medical College,1068/2000,24/01/2020,20/01/2020,12:49:00,11:30:00,"279,337,338",Grevious Injury,0,4,2,0,0,10.163464,76.369928,CHERIYAVAPPALASSERY,Rural,Village,Double,yes,Other,Sunny/Clear,NA,Hit from Back,National Highway,Straight Road,Good,Uncontrolled,Auto rickshaw,Car
THIRUVANANTHAPURAM CITY,Medical College,1069/2000,24/01/2020,06/12/2020,19:00:00,09:30:00,"279,337,338",Minor Injury,0,0,1,0,0,10.123159,76.245706,CHERIYAPPILLY,Rural,Village,Single,no,Near bus stop,Sunny/Clear,Y- junction,Hit from Side,National Highway,Curved Road,Good,Uncontrolled,Car,Scooter
THIRUVANANTHAPURAM CITY,Medical College,1070/2000,03/01/2020,17/11/2020,16:00:00,20:00:00,"279,337,338",Grevious Injury,0,1,0,0,1,10.151991,76.242985,THANIPADAM,Rural,Village,Single,no,In Residential area,Sunny/Clear,NA,Hit from Side,Other Road,Straight Road,Good,Uncontrolled,Other Medium Goods vehicle,Scooter
THIRUVANANTHAPURAM CITY,Poojappura,1071/2000,08/01/2020,03/01/2020,14:30:00,13:31:00,"279,337,338",Minor Injury,0,0,1,0,0,9.975492,76.413298,PUTHENKURIZHU,Rural,Village,Single,no,Other,Sunny/Clear,NA,Hit from Side,National Highway,Straight Road,Good,Uncontrolled,Private Bus,Auto rickshaw
THIRUVANANTHAPURAM CITY,Thampanoor,1072/2000,14/01/2020,12/01/2020,20:25:00,12:30:00,"279,337,338",Grevious Injury,0,1,0,1,0,9.963871,76.423457,PUTHENKURIZHU DIPPO,Rural,Village,Single,no,Other,Sunny/Clear,NA,Hit Pedestrian,National Highway,Straight Road,Good,Uncontrolled,Auto rickshaw,Motor Cycle
THIRUVANANTHAPURAM CITY,Poojappura,1073/2000,09/01/2020,23/12/2020,08:30:00,19:05:00,"279,337,338",Fatal,1,0,0,1,0,10.112935,76.355026,VELLAMAKUTHU,Rural,Village,Single,yes,Other,Sunny/Clear,NA,Hit Pedestrian,National Highway,Others,Good,Uncontrolled,Lorry,Scooter
THIRUVANANTHAPURAM CITY,Cantonment,1074/2000,09/01/2020,09/01/2020,17:30:00,12:00:00,279,Grevious Injury,0,1,0,0,0,9.952234,76.290051,PERUMANNOOR,Rural,Village,Single,no,Other,Sunny/Clear,NA,Right turn collision,National Highway,Straight Road,Good,Uncontrolled,Car,Scooter
THIRUVANANTHAPURAM CITY,Medical College,1075/2000,13/01/2020,10/01/2020,19:30:00,15:45:00,"279,337,338",Grevious Injury,0,1,0,0,0,10.126285,76.325353,MARIYAPPADY,Rural,Village,Single,no,Other,Sunny/Clear,NA,Other,Other Road,Others,Good,Police controlled,Car,Motor Cycle
THIRUVANANTHAPURAM CITY,Medical College,1076/2000,17/01/2020,29/11/2020,18:04:00,20:00:00,"279,337,338",Grevious Injury,0,1,1,0,0,10.131256,76.35276,DESAM,Rural,Village,Double,yes,Other,Mist/Fog,T- Junction,Right-angled collision,National Highway,Straight Road,Good,Flashing signal/blinker,Motor Cycle,Motor Cycle
